run,step,loss,bal,dt_ms,tok_sec,bf16_mfu
moe_bf16_experts_static_long,236,3.800569,24.0765,478.58,1095507,13.26
moe_bf16_experts_static_long,237,3.797591,24.1438,489.0,1072155,12.97
moe_bf16_experts_static_long,238,3.789914,24.0326,468.53,1119002,13.54
moe_bf16_experts_static_long,239,3.781119,24.1955,476.71,1099799,13.31
moe_bf16_experts_static_long,240,3.778277,24.061,485.51,1079871,13.07
moe_bf16_experts_static_long,241,3.761334,24.1243,479.11,1094292,13.24
moe_bf16_experts_static_long,242,3.747482,24.1879,469.32,1117115,13.52
moe_bf16_experts_static_long,243,3.748441,24.0711,509.68,1028670,12.45
moe_bf16_experts_static_long,244,3.734432,24.0636,481.63,1088559,13.17
moe_bf16_experts_static_long,245,3.722746,24.091,523.16,1002156,12.13
moe_bf16_experts_static_long,246,3.70832,24.4538,466.97,1122750,13.59
moe_bf16_experts_static_long,247,3.709564,24.1044,466.19,1124621,13.61
moe_bf16_experts_static_long,248,3.685031,24.2823,458.58,1143278,13.83
moe_bf16_experts_static_long,249,3.691136,24.0276,488.72,1072776,12.98
moe_bf16_experts_static_long,250,3.689526,24.0878,461.45,1136175,13.75
moe_bf16_experts_static_long,251,3.682001,24.0764,450.41,1164034,14.09
moe_bf16_experts_static_long,252,3.663672,24.0709,475.78,1101959,13.33
moe_bf16_experts_static_long,253,3.671396,24.061,538.15,974248,11.79
moe_bf16_experts_static_long,254,3.680507,24.0908,475.91,1101660,13.33
moe_bf16_experts_static_long,255,3.671957,24.0454,484.25,1082680,13.1
moe_bf16_experts_static_long,256,3.674456,24.0409,461.58,1135855,13.74
moe_bf16_experts_static_long,257,3.674984,24.0378,486.43,1077835,13.04
moe_bf16_experts_static_long,258,3.666386,24.1814,463.23,1131802,13.7
moe_bf16_experts_static_long,259,3.662037,24.0776,457.86,1145095,13.86
moe_bf16_experts_static_long,260,3.656583,24.1172,459.32,1141446,13.81
moe_bf16_experts_static_long,261,3.635992,24.0817,477.49,1098006,13.29
moe_bf16_experts_static_long,262,3.635984,24.0394,535.01,979968,11.86
moe_bf16_experts_static_long,263,3.640516,24.0407,479.01,1094533,13.24
moe_bf16_experts_static_long,264,3.645672,24.02,487.01,1076535,13.03
moe_bf16_experts_static_long,265,3.641618,24.1473,463.08,1132167,13.7
moe_bf16_experts_static_long,266,3.64551,24.1277,474.61,1104668,13.37
moe_bf16_experts_static_long,267,3.65423,24.0465,463.01,1132351,13.7
moe_bf16_experts_static_long,268,3.65616,24.0827,517.7,1012730,12.25
moe_bf16_experts_static_long,269,3.668004,24.0861,487.72,1074987,13.01
moe_bf16_experts_static_long,270,3.653868,24.0445,474.59,1104718,13.37
moe_bf16_experts_static_long,271,3.656081,24.0683,475.62,1102329,13.34
moe_bf16_experts_static_long,272,3.669763,24.1137,484.06,1083098,13.11
moe_bf16_experts_static_long,273,3.654098,24.0493,480.29,1091610,13.21
moe_bf16_experts_static_long,274,3.664172,24.0429,472.97,1108498,13.41
moe_bf16_experts_static_long,275,3.660754,24.055,494.09,1061116,12.84
moe_bf16_experts_static_long,276,3.664457,24.0397,459.34,1141386,13.81
moe_bf16_experts_static_long,277,3.659448,24.0973,501.31,1045828,12.66
moe_bf16_experts_static_long,278,3.647536,24.0839,469.28,1117228,13.52
moe_bf16_experts_static_long,279,3.641665,24.0601,519.44,1009325,12.21
moe_bf16_experts_static_long,280,3.639543,24.0806,480.18,1091862,13.21
moe_bf16_experts_static_long,281,3.648359,24.0497,469.51,1116662,13.51
moe_bf16_experts_static_long,282,3.630923,24.0944,504.85,1038500,12.57
moe_bf16_experts_static_long,283,3.621448,24.0618,511.6,1024810,12.4
moe_bf16_experts_static_long,284,3.613002,24.0926,463.26,1131731,13.69
moe_bf16_experts_static_long,285,3.628329,24.0586,461.69,1135595,13.74
moe_bf16_experts_static_long,286,3.62201,24.0991,529.16,990797,11.99
moe_bf16_experts_static_long,287,3.623386,24.0639,486.63,1077384,13.04
moe_bf16_experts_static_long,288,3.620435,24.0501,494.63,1059960,12.83
moe_bf16_experts_static_long,289,3.631968,24.0709,475.76,1102002,13.33
moe_bf16_experts_static_long,290,3.619083,24.0545,471.87,1111076,13.44
moe_bf16_experts_static_long,291,3.61175,24.0691,468.27,1119619,13.55
moe_bf16_experts_static_long,292,3.623913,24.1198,488.18,1073967,13.0
moe_bf16_experts_static_long,293,3.610377,24.0728,455.7,1150500,13.92
moe_bf16_experts_static_long,294,3.609713,24.0538,463.78,1130464,13.68
moe_bf16_experts_static_long,295,3.61218,24.1235,510.73,1026540,12.42
moe_bf16_experts_static_long,296,3.616298,24.1107,455.22,1151728,13.94
moe_bf16_experts_static_long,297,3.612308,24.0373,483.15,1085150,13.13
moe_bf16_experts_static_long,298,3.607102,24.067,467.81,1120718,13.56
moe_bf16_experts_static_long,299,3.598733,24.0438,480.85,1090324,13.19
moe_bf16_experts_static_long,300,3.597539,24.018,486.55,1077557,13.04
moe_bf16_experts_static_long,301,3.588746,24.0849,469.7,1116216,13.51
moe_bf16_experts_static_long,302,3.602195,24.07,470.4,1114564,13.49
moe_bf16_experts_static_long,303,3.613599,24.071,483.23,1084969,13.13
moe_bf16_experts_static_long,304,3.623135,24.0792,480.44,1091276,13.2
moe_bf16_experts_static_long,305,3.615457,24.0801,477.46,1098085,13.29
moe_bf16_experts_static_long,306,3.603777,24.0896,474.93,1103928,13.36
moe_bf16_experts_static_long,307,3.603674,24.052,471.36,1112287,13.46
moe_bf16_experts_static_long,308,3.598664,24.0308,471.39,1112222,13.46
moe_bf16_experts_static_long,309,3.592909,24.1472,473.08,1108241,13.41
moe_bf16_experts_static_long,310,3.592137,24.0266,485.5,1079885,13.07
moe_bf16_experts_static_long,311,3.593625,24.1431,488.64,1072960,12.98
moe_bf16_experts_static_long,312,3.601749,24.029,464.16,1129531,13.67
moe_bf16_experts_static_long,313,3.597204,24.0705,463.14,1132028,13.7
moe_bf16_experts_static_long,314,3.594957,24.0168,460.75,1137890,13.77
moe_bf16_experts_static_long,315,3.569369,24.0208,452.57,1158471,14.02
moe_bf16_experts_static_long,316,3.572618,24.0159,476.48,1100339,13.31
moe_bf16_experts_static_long,317,3.575114,24.1325,465.07,1127326,13.64
moe_bf16_experts_static_long,318,3.586887,24.0186,472.1,1110553,13.44
moe_bf16_experts_static_long,319,3.580624,24.1031,482.86,1085786,13.14
moe_bf16_experts_static_long,320,3.572268,24.089,466.67,1123474,13.59
moe_bf16_experts_static_long,321,3.575924,24.1099,459.93,1139923,13.79
moe_bf16_experts_static_long,322,3.570934,24.0442,472.17,1110377,13.44
moe_bf16_experts_static_long,323,3.555869,24.0712,457.95,1144851,13.85
